code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720350511418 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720351186752 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720351272297 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720351617139 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720351690160 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720351806473 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720351914628 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720352079940 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720352286497 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720353554314 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720353672022 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720353722026 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720353849307 | method name: NotifBrokerActor.decode_serde
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720354102286 | method name: NotifBrokerActor.decode_serde
code: 65451 | message: invalid parameter | due to: Themis Error
 | time: 1720354467974 | method name: NotifBrokerActor.consume.Wallet::secure_cell_decrypt
code: 65531 | message: invalid type: integer `1`, expected struct NotifData at line 1 column 1 | due to: Serde Error
 | time: 1720354467975 | method name: NotifBrokerActor.decode_serde
code: 65451 | message: invalid parameter | due to: Themis Error
 | time: 1721740962644 | method name: CrypterInterface.encrypt.Wallet::secure_cell_decrypt
code: 65451 | message: invalid parameter | due to: Themis Error
 | time: 1721741051085 | method name: CrypterInterface.encrypt.Wallet::secure_cell_decrypt
code: 65451 | message: invalid parameter | due to: Themis Error
 | time: 1721741195169 | method name: CrypterInterface.encrypt.Wallet::secure_cell_decrypt
code: 65451 | message: invalid parameter | due to: Themis Error
 | time: 1721741369955 | method name: CrypterInterface.encrypt.Wallet::secure_cell_decrypt
code: 65451 | message: invalid parameter | due to: Themis Error
 | time: 1721811678166 | method name: CrypterInterface.encrypt.Wallet::secure_cell_decrypt
code: 65451 | message: invalid parameter | due to: Themis Error
 | time: 1721812008098 | method name: CrypterInterface.encrypt.Wallet::secure_cell_decrypt
code: 65451 | message: invalid parameter | due to: Themis Error
 | time: 1721813395485 | method name: CrypterInterface.encrypt.Wallet::secure_cell_decrypt
code: 65451 | message: invalid parameter | due to: Themis Error
 | time: 1721815026992 | method name: CrypterInterface.encrypt.Wallet::secure_cell_decrypt
code: 65451 | message: invalid parameter | due to: Themis Error
 | time: 1721815033092 | method name: CrypterInterface.encrypt.Wallet::secure_cell_decrypt
code: 65451 | message: invalid parameter | due to: Themis Error
 | time: 1721817375695 | method name: CrypterInterface.encrypt.Wallet::secure_cell_decrypt
code: 65535 | message: Message production error: UnknownPartition (Local: Unknown partition) | due to: Redis, RMQ or Seaorm Error
 | time: 1726766912112 | method name: NotifBrokerActor.publishToKafka.deliveryStatus
code: 65535 | message: Message production error: UnknownPartition (Local: Unknown partition) | due to: Redis, RMQ or Seaorm Error
 | time: 1726767026858 | method name: NotifBrokerActor.publishToKafka.deliveryStatus
code: 65535 | message: Message production error: UnknownPartition (Local: Unknown partition) | due to: Redis, RMQ or Seaorm Error
 | time: 1726767152352 | method name: NotifBrokerActor.publishToKafka.deliveryStatus
code: 65531 | message: invalid number at line 1 column 2 | due to: Serde Error
 | time: 1726771961937 | method name: NotifBrokerActor.consumeFromKafka.decode_serde
code: 65531 | message: invalid number at line 1 column 2 | due to: Serde Error
 | time: 1726773899166 | method name: NotifBrokerActor.consumeFromRedis.decode_serde
